,Unnamed: 0,name,playerId,position,age,games_played,goals,points,pAssists,sAssists,icetime_per_game,ppg,apg,gpg,goalsFor_team,Predicted Games Played Percentage,Predicted Games Played,Predicted Goals Scored Percentage,Predicted Goals Scored per 82 Games,Predicted Assists Percentage,Predicted Assists per 82 Games,headshot
390,3105,Jakob Chychrun,8479345,D,26,74,20.0,47.0,15.0,12.0,21.06418918918919,0.6351351351351351,0.3648648648648648,0.2702702702702703,286.0,0.88621694,73.0,0.19423921,16.0,0.436615,36.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479345.png
391,3120,Sam Steel,8479351,C,26,79,6.0,25.0,9.0,10.0,14.140295358649787,0.3164556962025316,0.240506329113924,0.0759493670886076,275.0,0.8284803,68.0,0.120364524,10.0,0.2000193,17.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8479351.png
392,3126,Brett Howden,8479353,C,26,80,23.0,40.0,9.0,8.0,14.862916666666669,0.5,0.2125,0.2875,274.0,0.78672564,65.0,0.18349968,16.0,0.20736375,18.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8479353.png
393,3133,Kieffer Bellows,8479356,L,26,19,2.0,4.0,1.0,1.0,10.674561403508772,0.2105263157894736,0.1052631578947368,0.1052631578947368,212.0,0.3793521,32.0,0.06945916,6.0,0.109268546,9.0,https://assets.nhle.com/mugs/nhl/20242025/NSH/8479356.png
394,3138,Beck Malenstyn,8479359,L,26,76,4.0,10.0,5.0,1.0,10.530921052631578,0.131578947368421,0.0789473684210526,0.0526315789473684,265.0,0.7163739,59.0,0.08131845,7.0,0.08088862,7.0,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479359.png
395,3145,Trent Frederic,8479365,C,26,58,8.0,15.0,4.0,3.0,13.721551724137932,0.2586206896551724,0.1206896551724138,0.1379310344827586,259.0,0.75242126,62.0,0.14229232,12.0,0.16967407,14.0,https://assets.nhle.com/mugs/nhl/20242025/EDM/8479365.png
396,3156,Max Jones,8479368,L,26,26,1.0,2.0,1.0,0.0,9.38076923076923,0.0769230769230769,0.0384615384615384,0.0384615384615384,259.0,0.3196335,27.0,0.06387736,6.0,0.09441094,8.0,https://assets.nhle.com/mugs/nhl/20242025/EDM/8479368.png
397,3162,Andrew Peeke,8479369,D,26,76,1.0,17.0,9.0,7.0,18.60679824561404,0.2236842105263158,0.2105263157894736,0.0131578947368421,222.0,0.76207185,63.0,0.046751402,4.0,0.1791663,15.0,https://assets.nhle.com/mugs/nhl/20242025/BOS/8479369.png
398,3168,Tyson Jost,8479370,C,26,39,4.0,9.0,1.0,4.0,10.372649572649571,0.2307692307692307,0.1282051282051282,0.1025641025641025,266.0,0.4636763,39.0,0.06915358,6.0,0.13609923,12.0,https://assets.nhle.com/mugs/nhl/20242025/CAR/8479370.png
399,3174,Dante Fabbro,8479371,D,26,68,9.0,26.0,5.0,12.0,20.89558823529412,0.3823529411764705,0.25,0.1323529411764706,267.0,0.79980206,66.0,0.072027974,6.0,0.2506515,21.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8479371.png
400,3180,Joshua Mahura,8479372,D,26,64,0.0,9.0,5.0,4.0,13.755208333333334,0.140625,0.140625,0.0,245.0,0.677356,56.0,0.042341344,4.0,0.12402506,11.0,https://assets.nhle.com/mugs/nhl/20242025/SEA/8479372.png
401,3190,Logan Stanley,8479378,D,26,63,1.0,14.0,4.0,9.0,15.583597883597884,0.2222222222222222,0.2063492063492063,0.0158730158730158,275.0,0.6911625,57.0,0.036824174,4.0,0.13030325,11.0,https://assets.nhle.com/mugs/nhl/20242025/WPG/8479378.png
402,3196,Givani Smith,8479379,R,26,13,0.0,0.0,0.0,0.0,6.325641025641025,0.0,0.0,0.0,273.0,0.29400578,25.0,0.048271723,4.0,0.076015465,7.0,https://assets.nhle.com/mugs/nhl/20242025/PHI/8479379.png
403,3210,Jordan Kyrou,8479385,R,26,82,36.0,70.0,20.0,14.0,17.48252032520325,0.8536585365853658,0.4146341463414634,0.4390243902439024,250.0,0.93959427,78.0,0.42171633,35.0,0.47590604,40.0,https://assets.nhle.com/mugs/nhl/20242025/STL/8479385.png
404,3211,Keaton Middleton,8479387,D,26,41,0.0,2.0,1.0,1.0,11.4869918699187,0.048780487804878,0.048780487804878,0.0,273.0,0.4168828,35.0,0.034189235,3.0,0.09407228,8.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8479387.png
405,3219,Taylor Raddysh,8479390,R,26,80,7.0,27.0,8.0,12.0,12.360833333333334,0.3375,0.25,0.0875,286.0,0.808199,67.0,0.14976282,13.0,0.19148302,16.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479390.png
406,3225,Noah Gregor,8479393,L,26,52,4.0,7.0,2.0,1.0,11.106089743589743,0.1346153846153846,0.0576923076923076,0.0769230769230769,208.0,0.5253677,44.0,0.075540066,7.0,0.10963963,9.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8479393.png
407,3229,Dennis Cholowski,8479395,D,26,39,3.0,10.0,2.0,5.0,13.07051282051282,0.2564102564102564,0.1794871794871795,0.0769230769230769,240.0,0.41027176,34.0,0.034950025,3.0,0.12514505,11.0,https://assets.nhle.com/mugs/nhl/20242025/NJD/8479395.png
408,3235,Samuel Girard,8479398,D,26,73,3.0,24.0,10.0,11.0,20.84931506849315,0.3287671232876712,0.2876712328767123,0.0410958904109589,273.0,0.78742415,65.0,0.050601967,5.0,0.29132783,24.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8479398.png
