,name,playerId,position,age,games_played,goals,points,pAssists,sAssists,icetime_per_game,ppg,apg,gpg,goalsFor_team,Predicted Games Played Percentage,Predicted Games Played,Predicted Goals Scored Percentage,Predicted Goals Scored per 82 Games,Predicted Assists Percentage,Predicted Assists per 82 Games,headshot,Predicted Games Played Percentage LSTM,Predicted Goals Scored Percentage LSTM,Predicted Assists Percentage LSTM,Predicted Games Played Percentage GRU,Predicted Goals Scored Percentage GRU,Predicted Assists Percentage GRU,Predicted Games Played LSTM,Predicted Goals Scored per 82 Games LSTM,Predicted Assits per 82 Games LSTM,Predicted Games Played GRU,Predicted Goals Scored per 82 Games GRU,Predicted Assits per 82 Games GRU
646,Lukas Reichel,8482117,L,22,70,8.0,22.0,8.0,6.0,11.911190476190477,0.3142857142857143,0.2,0.1142857142857142,224.0,0.6124646,51.0,0.12838946,11.0,0.17734909,15.0,https://assets.nhle.com/mugs/nhl/20242025/CHI/8482117.png,0.18972196,0.045127977,0.12386737,0.331187,0.09694806,0.13173103,16.0,4.0,11.0,28.0,8.0,11.0
647,Sam Colangelo,8482118,R,23,32,10.0,12.0,2.0,0.0,12.486458333333331,0.375,0.0625,0.3125,217.0,0.56932867,47.0,0.17117539,15.0,0.15402134,13.0,https://assets.nhle.com/mugs/nhl/20242025/ANA/8482118.png,0.39075488,0.038490694,0.08731682,0.5032403,0.118317425,0.11555412,33.0,4.0,8.0,42.0,10.0,10.0
648,Brock Faber,8482122,D,22,78,10.0,29.0,6.0,13.0,25.525,0.3717948717948718,0.2435897435897435,0.1282051282051282,225.0,0.8923888,74.0,0.098998584,9.0,0.36052075,30.0,https://assets.nhle.com/mugs/nhl/20242025/MIN/8482122.png,0.79207957,0.07027737,0.26688942,0.8149289,0.07703269,0.27225158,65.0,6.0,22.0,67.0,7.0,23.0
649,Quinton Byfield,8482124,R,22,81,23.0,54.0,13.0,18.0,18.623456790123456,0.6666666666666666,0.382716049382716,0.2839506172839506,249.0,0.9191106,76.0,0.25664368,22.0,0.3852241,32.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8482124.png,0.8497512,0.28517744,0.39796773,0.8663948,0.26339856,0.352747,70.0,24.0,33.0,72.0,22.0,29.0
650,Alexander Holtz,8482125,R,22,53,4.0,12.0,4.0,4.0,11.58490566037736,0.2264150943396226,0.1509433962264151,0.0754716981132075,274.0,0.6405543,53.0,0.12941457,11.0,0.14628026,12.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8482125.png,0.5138882,0.12881356,0.16640931,0.66417545,0.13010709,0.15822533,43.0,11.0,14.0,55.0,11.0,13.0
651,Emil Andrae,8482126,D,22,42,1.0,7.0,4.0,2.0,17.34484126984127,0.1666666666666666,0.1428571428571428,0.0238095238095238,232.0,0.5444952,45.0,0.054667108,5.0,0.13740523,12.0,https://assets.nhle.com/mugs/nhl/20242025/PHI/8482126.png,0.6238506,0.04745462,0.18180558,0.60288054,0.03538393,0.17108187,52.0,4.0,15.0,50.0,3.0,15.0
652,Brett Berard,8482132,L,22,35,6.0,10.0,1.0,3.0,10.714761904761904,0.2857142857142857,0.1142857142857142,0.1714285714285714,255.0,0.6432918,53.0,0.11936955,10.0,0.15281668,13.0,https://assets.nhle.com/mugs/nhl/20242025/NYR/8482132.png,0.6765962,0.155454,0.15179762,0.64924175,0.16766405,0.14803305,56.0,13.0,13.0,54.0,14.0,13.0
653,Jamie Drysdale,8482142,D,22,70,7.0,20.0,5.0,8.0,19.916904761904764,0.2857142857142857,0.1857142857142857,0.1,232.0,0.75971013,63.0,0.049390864,5.0,0.21556999,18.0,https://assets.nhle.com/mugs/nhl/20242025/PHI/8482142.png,0.7275007,0.04703938,0.23923658,0.7639772,0.052971806,0.25613365,60.0,4.0,20.0,63.0,5.0,22.0
654,Jack Thompson,8482144,D,22,31,4.0,10.0,4.0,2.0,15.790322580645162,0.3225806451612903,0.1935483870967742,0.1290322580645161,208.0,0.51208955,42.0,0.05539292,5.0,0.18467517,16.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482144.png,0.61135083,0.040726367,0.18750027,0.5453575,0.039302263,0.16547894,51.0,4.0,16.0,45.0,4.0,14.0
655,Mavrik Bourque,8482145,C,22,73,11.0,25.0,7.0,7.0,12.684018264840182,0.3424657534246575,0.1917808219178082,0.1506849315068493,275.0,0.70620215,58.0,0.1563706,13.0,0.20647897,17.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8482145.png,0.7054069,0.0804026,0.15388367,0.7894385,0.12538648,0.20812874,58.0,7.0,13.0,65.0,11.0,18.0
656,Luke Evangelista,8482146,R,22,68,10.0,32.0,10.0,12.0,13.87156862745098,0.4705882352941176,0.3235294117647059,0.1470588235294117,212.0,0.7966821,66.0,0.2100555,18.0,0.29232043,24.0,https://assets.nhle.com/mugs/nhl/20242025/NSH/8482146.png,0.7659894,0.24831375,0.31837824,0.71996975,0.2372855,0.26500738,63.0,21.0,27.0,60.0,20.0,22.0
657,Hendrix Lapierre,8482148,C,22,27,0.0,8.0,3.0,5.0,9.796296296296296,0.2962962962962963,0.2962962962962963,0.0,286.0,0.5544243,46.0,0.12607493,11.0,0.16206661,14.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8482148.png,0.77168113,0.18281896,0.29073325,0.70913386,0.15909338,0.23701194,64.0,15.0,24.0,59.0,14.0,20.0
658,Cole Perfetti,8482149,C,22,82,18.0,50.0,18.0,14.0,15.186991869918698,0.6097560975609756,0.3902439024390244,0.2195121951219512,275.0,0.8635768,71.0,0.23748755,20.0,0.35892776,30.0,https://assets.nhle.com/mugs/nhl/20242025/WPG/8482149.png,0.9218693,0.337043,0.40037113,0.8679278,0.29770523,0.35150123,76.0,28.0,33.0,72.0,25.0,29.0
