,name,playerId,position,age,games_played,goals,points,pAssists,sAssists,icetime_per_game,ppg,apg,gpg,goalsFor_team,Predicted Games Played Percentage,Predicted Games Played,Predicted Goals Scored Percentage,Predicted Goals Scored per 82 Games,Predicted Assists Percentage,Predicted Assists per 82 Games,headshot,Predicted Games Played Percentage LSTM,Predicted Goals Scored Percentage LSTM,Predicted Assists Percentage LSTM,Predicted Games Played Percentage GRU,Predicted Goals Scored Percentage GRU,Predicted Assists Percentage GRU,Predicted Games Played LSTM,Predicted Goals Scored per 82 Games LSTM,Predicted Assits per 82 Games LSTM,Predicted Games Played GRU,Predicted Goals Scored per 82 Games GRU,Predicted Assits per 82 Games GRU
0,Ryan Suter,8470600,D,39,82,2.0,15.0,7.0,6.0,19.471341463414635,0.1829268292682926,0.1585365853658536,0.024390243902439,250.0,0.87408495,72.0,0.030999986,3.0,0.18439347,16.0,https://assets.nhle.com/mugs/nhl/20242025/STL/8470600.png,0.76214635,0.03117407,0.1355867,0.8026578,0.020858293,0.15453935,63.0,3.0,12.0,66.0,2.0,13.0
1,Brent Burns,8470613,D,39,82,6.0,29.0,10.0,13.0,20.955691056910567,0.3536585365853658,0.2804878048780488,0.073170731707317,266.0,0.8980595,74.0,0.07924406,7.0,0.32185093,27.0,https://assets.nhle.com/mugs/nhl/20242025/CAR/8470613.png,0.84381545,0.08508541,0.25506747,0.9035506,0.07591544,0.26504058,70.0,7.0,21.0,75.0,7.0,22.0
2,Corey Perry,8470621,R,39,81,19.0,30.0,6.0,5.0,11.937037037037037,0.3703703703703703,0.1358024691358024,0.2345679012345679,259.0,0.79237765,65.0,0.17537878,15.0,0.17431301,15.0,https://assets.nhle.com/mugs/nhl/20242025/EDM/8470621.png,0.20802917,0.14838026,0.09534224,0.5592157,0.13595062,0.15759987,18.0,13.0,8.0,46.0,12.0,13.0
3,Alex Ovechkin,8471214,L,39,65,44.0,73.0,19.0,10.0,17.724358974358974,1.123076923076923,0.4461538461538462,0.676923076923077,286.0,0.8350244,69.0,0.5135035,43.0,0.43328878,36.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8471214.png,0.955131,0.49389002,0.35906765,0.8720689,0.50351566,0.3404308,79.0,41.0,30.0,72.0,42.0,28.0
4,Evgeni Malkin,8471215,C,38,68,16.0,50.0,22.0,12.0,17.785539215686274,0.7352941176470589,0.5,0.2352941176470588,242.0,0.84739697,70.0,0.2865503,24.0,0.40919688,34.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8471215.png,0.88974667,0.20485114,0.3768871,0.90244067,0.17908601,0.40203518,73.0,17.0,31.0,75.0,15.0,33.0
5,Sidney Crosby,8471675,C,37,80,33.0,91.0,33.0,25.0,20.374583333333334,1.1375,0.725,0.4125,242.0,0.9118268,75.0,0.40634024,34.0,0.6745537,56.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8471675.png,0.89763325,0.30160245,0.43529263,0.87359124,0.31308505,0.44153303,74.0,25.0,36.0,72.0,26.0,37.0
6,Jack Johnson,8471677,D,37,41,0.0,6.0,2.0,4.0,12.873170731707315,0.1463414634146341,0.1463414634146341,0.0,267.0,0.5126324,43.0,0.017884731,2.0,0.076009795,7.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8471677.png,0.49678463,0.030241137,0.105714254,0.5380079,0.020540422,0.09699691,41.0,3.0,9.0,45.0,2.0,8.0
7,Anze Kopitar,8471685,C,37,81,21.0,67.0,29.0,17.0,18.95576131687243,0.8271604938271605,0.5679012345679012,0.2592592592592592,249.0,0.91555357,76.0,0.27322233,23.0,0.4752845,39.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8471685.png,0.8592058,0.16744968,0.35527572,0.8871295,0.14752126,0.33251,71.0,14.0,30.0,73.0,13.0,28.0
8,Marc-Edouard Vlasic,8471709,D,37,27,1.0,3.0,1.0,1.0,14.625308641975309,0.1111111111111111,0.074074074074074,0.037037037037037,208.0,0.43274686,36.0,0.019973753,2.0,0.12032978,10.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8471709.png,0.4618407,0.042815138,0.11172367,0.47527876,0.027498892,0.090092935,38.0,4.0,10.0,39.0,3.0,8.0
9,Kris Letang,8471724,D,37,74,9.0,30.0,8.0,13.0,23.525450450450453,0.4054054054054054,0.2837837837837837,0.1216216216216216,242.0,0.85577756,71.0,0.08537615,8.0,0.3354337,28.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8471724.png,0.8649574,0.087143265,0.3193869,0.8425085,0.06329912,0.26499864,71.0,8.0,27.0,70.0,6.0,22.0
10,Ryan Reaves,8471817,R,37,35,0.0,2.0,1.0,1.0,7.80047619047619,0.0571428571428571,0.0571428571428571,0.0,267.0,0.44242126,37.0,0.038101863,4.0,0.07388497,7.0,https://assets.nhle.com/mugs/nhl/20242025/TOR/8471817.png,0.47828624,0.04268117,0.094263874,0.4732191,0.060178217,0.08059072,40.0,4.0,8.0,39.0,5.0,7.0
11,Brad Marchand,8473419,L,36,71,23.0,51.0,18.0,10.0,18.32417840375587,0.7183098591549296,0.3943661971830985,0.323943661971831,246.0,0.87099737,72.0,0.33124334,28.0,0.4322725,36.0,https://assets.nhle.com/mugs/nhl/20242025/FLA/8473419.png,0.9481616,0.21272753,0.3319612,0.8639181,0.19465931,0.33718058,78.0,18.0,28.0,71.0,16.0,28.0
12,Nick Foligno,8473422,L,37,78,15.0,35.0,11.0,9.0,15.924786324786329,0.4487179487179487,0.2564102564102564,0.1923076923076923,224.0,0.8334955,69.0,0.17640866,15.0,0.21720842,18.0,https://assets.nhle.com/mugs/nhl/20242025/CHI/8473422.png,0.63447666,0.0754959,0.1422072,0.7731479,0.088721305,0.18238962,53.0,7.0,12.0,64.0,8.0,15.0
13,Erik Johnson,8473446,D,36,36,2.0,5.0,0.0,3.0,14.587962962962962,0.1388888888888889,0.0833333333333333,0.0555555555555555,273.0,0.5168449,43.0,0.019959416,2.0,0.098141804,9.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8473446.png,0.51648456,0.0321684,0.10710532,0.5776286,0.03714634,0.11174198,43.0,3.0,9.0,48.0,4.0,10.0
14,Trevor Lewis,8473453,C,37,60,6.0,12.0,2.0,4.0,10.221666666666666,0.2,0.1,0.1,249.0,0.66298586,55.0,0.0735958,7.0,0.10231482,9.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8473453.png,0.72345155,0.07569398,0.097000666,0.7447642,0.079181366,0.12094813,60.0,7.0,8.0,62.0,7.0,10.0
15,Jeff Petry,8473507,D,37,44,1.0,8.0,4.0,3.0,18.89659090909091,0.1818181818181818,0.1590909090909091,0.0227272727272727,235.0,0.6407281,53.0,0.022589415,2.0,0.18841664,16.0,https://assets.nhle.com/mugs/nhl/20242025/DET/8473507.png,0.5787918,0.034983393,0.135053,0.6153157,0.025316915,0.14320882,48.0,3.0,12.0,51.0,3.0,12.0
16,Claude Giroux,8473512,R,36,81,15.0,50.0,21.0,14.0,18.205349794238685,0.6172839506172839,0.4320987654320987,0.1851851851851851,242.0,0.9136657,75.0,0.22585273,19.0,0.39056677,33.0,https://assets.nhle.com/mugs/nhl/20242025/OTT/8473512.png,0.8169157,0.12382443,0.28819394,0.807773,0.13487041,0.26502612,67.0,11.0,24.0,67.0,12.0,22.0
17,Jordan Staal,8473533,C,36,75,13.0,36.0,15.0,8.0,15.437333333333331,0.48,0.3066666666666666,0.1733333333333333,266.0,0.87142617,72.0,0.16094242,14.0,0.22205079,19.0,https://assets.nhle.com/mugs/nhl/20242025/CAR/8473533.png,0.9143833,0.105308466,0.19465683,0.8673401,0.120996855,0.23155719,75.0,9.0,16.0,72.0,10.0,19.0
18,Alex Killorn,8473986,L,35,82,19.0,37.0,11.0,7.0,17.276016260162603,0.4512195121951219,0.2195121951219512,0.2317073170731707,217.0,0.8670681,72.0,0.21922654,18.0,0.2693495,23.0,https://assets.nhle.com/mugs/nhl/20242025/ANA/8473986.png,0.702064,0.1360676,0.17808877,0.7051618,0.16096257,0.19723019,58.0,12.0,15.0,58.0,14.0,17.0
19,Jamie Benn,8473994,L,35,80,16.0,49.0,22.0,11.0,15.30125,0.6125,0.4125,0.2,275.0,0.8929115,74.0,0.22824472,19.0,0.31721857,27.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8473994.png,0.79098004,0.14148206,0.2167442,0.7021273,0.18680601,0.25257525,65.0,12.0,18.0,58.0,16.0,21.0
20,Ian Cole,8474013,D,35,82,1.0,17.0,8.0,8.0,20.28211382113821,0.2073170731707317,0.1951219512195122,0.0121951219512195,240.0,0.8890684,73.0,0.045629427,4.0,0.1728258,15.0,https://assets.nhle.com/mugs/nhl/20242025/UTA/8474013.png,0.8286134,0.027898824,0.15237322,0.7787448,0.018981105,0.12653315,68.0,3.0,13.0,64.0,2.0,11.0
21,Patrick Maroon,8474034,L,36,68,5.0,19.0,11.0,3.0,11.539705882352942,0.2794117647058823,0.2058823529411764,0.0735294117647058,224.0,0.7195003,59.0,0.08935821,8.0,0.111303166,10.0,https://assets.nhle.com/mugs/nhl/20242025/CHI/8474034.png,0.85952157,0.066866465,0.16065614,0.77228206,0.06927466,0.1401079,71.0,6.0,14.0,64.0,6.0,12.0
22,James van Riemsdyk,8474037,L,35,71,16.0,36.0,11.0,9.0,12.399530516431923,0.5070422535211268,0.2816901408450704,0.2253521126760563,267.0,0.737115,61.0,0.16901352,14.0,0.21478203,18.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8474037.png,0.78246003,0.15455438,0.20244657,0.87963617,0.15919048,0.23450035,65.0,13.0,17.0,73.0,14.0,20.0
23,Brendan Smith,8474090,D,35,32,1.0,6.0,2.0,3.0,13.208854166666669,0.1875,0.15625,0.03125,275.0,0.46844617,39.0,0.024770983,3.0,0.08637335,8.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8474090.png,0.49622333,0.036456082,0.10215788,0.52146316,0.032534193,0.10307027,41.0,3.0,9.0,43.0,3.0,9.0
24,David Perron,8474102,L,36,43,9.0,16.0,4.0,3.0,14.02015503875969,0.3720930232558139,0.1627906976744186,0.2093023255813953,242.0,0.77014905,64.0,0.20707962,17.0,0.2537996,21.0,https://assets.nhle.com/mugs/nhl/20242025/OTT/8474102.png,0.59112954,0.10871673,0.17973039,0.5340119,0.123516165,0.18567108,49.0,9.0,15.0,44.0,11.0,16.0
25,Patrick Kane,8474141,R,36,72,21.0,59.0,17.0,21.0,17.97939814814815,0.8194444444444444,0.5277777777777778,0.2916666666666667,235.0,0.804914,67.0,0.31013834,26.0,0.48319712,40.0,https://assets.nhle.com/mugs/nhl/20242025/DET/8474141.png,0.67692125,0.09914983,0.23671299,0.7271338,0.14653742,0.28060964,56.0,9.0,20.0,60.0,13.0,24.0
26,Robert Bortuzzo,8474145,D,35,17,0.0,2.0,1.0,1.0,10.952941176470588,0.1176470588235294,0.1176470588235294,0.0,240.0,0.30194333,25.0,0.011903151,1.0,0.07833335,7.0,https://assets.nhle.com/mugs/nhl/20242025/UTA/8474145.png,0.36626792,0.022348782,0.10917788,0.29069203,0.017819634,0.08073381,31.0,2.0,9.0,24.0,2.0,7.0
27,Evgenii Dadonov,8474149,R,35,80,20.0,40.0,12.0,8.0,13.533333333333337,0.5,0.25,0.25,275.0,0.8003305,66.0,0.1974601,17.0,0.20755163,18.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8474149.png,0.42392716,0.12685402,0.152994,0.63508457,0.14284869,0.1942602,35.0,11.0,13.0,53.0,12.0,16.0
28,Mikael Backlund,8474150,C,35,76,15.0,32.0,12.0,5.0,18.73684210526316,0.4210526315789473,0.2236842105263158,0.1973684210526315,220.0,0.8685414,72.0,0.17705074,15.0,0.2722623,23.0,https://assets.nhle.com/mugs/nhl/20242025/CGY/8474150.png,0.8780802,0.186236,0.2572195,0.88390946,0.20767714,0.2690352,73.0,16.0,22.0,73.0,18.0,23.0
29,Ryan McDonagh,8474151,D,35,82,4.0,31.0,12.0,15.0,20.37032520325203,0.3780487804878049,0.3292682926829268,0.048780487804878,292.0,0.85358775,70.0,0.051969234,5.0,0.2693532,23.0,https://assets.nhle.com/mugs/nhl/20242025/TBL/8474151.png,0.73082554,0.033106875,0.15559223,0.8458445,0.021285897,0.17039232,60.0,3.0,13.0,70.0,2.0,14.0
30,Max Pacioretty,8474157,L,36,37,5.0,13.0,4.0,4.0,13.497747747747749,0.3513513513513513,0.2162162162162162,0.1351351351351351,267.0,0.63221014,52.0,0.164449,14.0,0.18190561,15.0,https://assets.nhle.com/mugs/nhl/20242025/TOR/8474157.png,0.7471734,0.16002472,0.21721621,0.7990464,0.13256674,0.22144838,62.0,14.0,18.0,66.0,11.0,19.0
31,Alec Martinez,8474166,D,37,44,5.0,12.0,0.0,7.0,18.72840909090909,0.2727272727272727,0.1590909090909091,0.1136363636363636,224.0,0.5437918,45.0,0.026061501,3.0,0.1524874,13.0,https://assets.nhle.com/mugs/nhl/20242025/CHI/8474166.png,0.5807218,0.037654977,0.114159755,0.62434155,0.0380395,0.11845026,48.0,4.0,10.0,52.0,4.0,10.0
32,Lars Eller,8474189,C,35,80,10.0,22.0,10.0,2.0,13.291458333333331,0.275,0.15,0.125,286.0,0.81910455,68.0,0.124723874,11.0,0.16633104,14.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8474189.png,0.8871674,0.08609962,0.13351505,0.85970795,0.0968838,0.15400258,73.0,8.0,11.0,71.0,8.0,13.0
33,Drew Doughty,8474563,D,35,30,4.0,17.0,3.0,10.0,24.136666666666667,0.5666666666666667,0.4333333333333333,0.1333333333333333,249.0,0.77754873,64.0,0.08925107,8.0,0.37729982,31.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8474563.png,0.8645915,0.09980555,0.3572366,0.8792248,0.08356253,0.35178483,71.0,9.0,30.0,73.0,7.0,29.0
34,Steven Stamkos,8474564,C,34,82,27.0,53.0,18.0,8.0,17.99979674796748,0.6463414634146342,0.3170731707317073,0.3292682926829268,212.0,0.9312309,77.0,0.37588856,31.0,0.40721038,34.0,https://assets.nhle.com/mugs/nhl/20242025/NSH/8474564.png,0.92717326,0.28993234,0.37230265,0.8863466,0.25859016,0.34616214,77.0,24.0,31.0,73.0,22.0,29.0
35,Alex Pietrangelo,8474565,D,34,71,4.0,33.0,14.0,15.0,22.402112676056337,0.4647887323943662,0.4084507042253521,0.056338028169014,274.0,0.800499,66.0,0.082943186,7.0,0.3506403,29.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8474565.png,0.76603216,0.064620554,0.24118702,0.8866658,0.055418756,0.29448453,63.0,6.0,20.0,73.0,5.0,25.0
36,Zach Bogosian,8474567,D,34,81,4.0,16.0,6.0,6.0,15.80699588477366,0.1975308641975308,0.1481481481481481,0.0493827160493827,225.0,0.7052701,58.0,0.024662117,3.0,0.13104747,11.0,https://assets.nhle.com/mugs/nhl/20242025/MIN/8474567.png,0.5390386,0.034426738,0.11847902,0.59348387,0.03350812,0.11807636,45.0,3.0,10.0,49.0,3.0,10.0
37,Luke Schenn,8474568,D,35,76,1.0,7.0,2.0,4.0,15.953289473684212,0.0921052631578947,0.0789473684210526,0.0131578947368421,275.0,0.7509934,62.0,0.030227201,3.0,0.13978733,12.0,https://assets.nhle.com/mugs/nhl/20242025/WPG/8474568.png,0.65910393,0.016795417,0.103786685,0.7265511,0.023477783,0.10454892,55.0,2.0,9.0,60.0,2.0,9.0
38,Tyler Myers,8474574,D,34,71,6.0,24.0,9.0,9.0,20.791784037558685,0.3380281690140845,0.2535211267605634,0.0845070422535211,233.0,0.8317024,69.0,0.04861017,4.0,0.2183406,18.0,https://assets.nhle.com/mugs/nhl/20242025/VAN/8474574.png,0.79073,0.03428779,0.16270052,0.777071,0.032775488,0.14761607,65.0,3.0,14.0,64.0,3.0,13.0
39,Erik Karlsson,8474578,D,34,82,11.0,53.0,17.0,25.0,23.235772357723576,0.6463414634146342,0.5121951219512195,0.1341463414634146,242.0,0.90061045,74.0,0.12547334,11.0,0.43613768,36.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8474578.png,0.82808197,0.09973275,0.39004678,0.9182992,0.07437114,0.37279293,68.0,9.0,32.0,76.0,7.0,31.0
40,Jordan Eberle,8474586,R,34,42,9.0,26.0,16.0,1.0,16.263095238095236,0.6190476190476191,0.4047619047619047,0.2142857142857142,245.0,0.7705115,64.0,0.19083029,16.0,0.29866576,25.0,https://assets.nhle.com/mugs/nhl/20242025/SEA/8474586.png,0.767897,0.15688393,0.31701532,0.7887428,0.16103889,0.34354872,63.0,13.0,26.0,65.0,14.0,29.0
41,John Carlson,8474590,D,34,79,5.0,51.0,24.0,22.0,23.564135021097044,0.6455696202531646,0.5822784810126582,0.0632911392405063,286.0,0.8445727,70.0,0.10271496,9.0,0.4648474,39.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8474590.png,0.7822232,0.103620075,0.33951533,0.8458205,0.08588482,0.36974072,65.0,9.0,28.0,70.0,8.0,31.0
42,Roman Josi,8474600,D,34,53,9.0,38.0,19.0,10.0,25.03238993710692,0.7169811320754716,0.5471698113207547,0.1698113207547169,212.0,0.8572552,71.0,0.18973835,16.0,0.5616745,47.0,https://assets.nhle.com/mugs/nhl/20242025/NSH/8474600.png,0.8008406,0.20930618,0.5326693,0.8716763,0.16311726,0.53799164,66.0,18.0,44.0,72.0,14.0,45.0
43,Travis Hamonic,8474612,D,34,59,1.0,7.0,1.0,5.0,17.066949152542374,0.1186440677966101,0.1016949152542373,0.0169491525423728,242.0,0.61249536,51.0,0.027880551,3.0,0.12518162,11.0,https://assets.nhle.com/mugs/nhl/20242025/OTT/8474612.png,0.48733646,0.039325263,0.1080355,0.5259528,0.029533362,0.09412236,40.0,4.0,9.0,44.0,3.0,8.0
44,Adam Henrique,8474641,C,34,81,12.0,27.0,5.0,10.0,14.6440329218107,0.3333333333333333,0.1851851851851851,0.1481481481481481,259.0,0.7953829,66.0,0.16193359,14.0,0.18841857,16.0,https://assets.nhle.com/mugs/nhl/20242025/EDM/8474641.png,0.7008633,0.08833878,0.12481118,0.81294256,0.10921578,0.14342265,58.0,8.0,11.0,67.0,9.0,12.0
45,TJ Brodie,8474673,D,34,54,2.0,10.0,1.0,7.0,15.632407407407406,0.1851851851851851,0.1481481481481481,0.037037037037037,224.0,0.6502783,54.0,0.023211129,2.0,0.14026612,12.0,https://assets.nhle.com/mugs/nhl/20242025/CHI/8474673.png,0.71942526,0.03178752,0.15022153,0.76227784,0.030685378,0.15988897,59.0,3.0,13.0,63.0,3.0,14.0
46,Gustav Nyquist,8474679,R,35,79,11.0,28.0,8.0,9.0,16.853586497890298,0.3544303797468354,0.2151898734177215,0.1392405063291139,225.0,0.82470053,68.0,0.1683593,14.0,0.28085884,24.0,https://assets.nhle.com/mugs/nhl/20242025/MIN/8474679.png,0.75662655,0.11889391,0.20024846,0.8789454,0.13463788,0.25266522,63.0,10.0,17.0,73.0,12.0,21.0
47,Matt Martin,8474709,L,35,32,0.0,2.0,2.0,0.0,8.548958333333333,0.0625,0.0625,0.0,222.0,0.37745774,31.0,0.04369911,4.0,0.06594844,6.0,https://assets.nhle.com/mugs/nhl/20242025/NYI/8474709.png,0.5002458,0.036886852,0.11098697,0.45546865,0.024405142,0.08621254,42.0,4.0,10.0,38.0,3.0,8.0
48,Cam Atkinson,8474715,R,35,39,4.0,9.0,5.0,0.0,8.992735042735042,0.2307692307692307,0.1282051282051282,0.1025641025641025,292.0,0.42097437,35.0,0.13622248,12.0,0.14957595,13.0,https://assets.nhle.com/mugs/nhl/20242025/TBL/8474715.png,0.4209739,0.12568158,0.12581272,0.5720471,0.13201113,0.17234299,35.0,11.0,11.0,47.0,11.0,15.0
49,Jared Spurgeon,8474716,D,35,66,7.0,32.0,11.0,14.0,20.4510101010101,0.4848484848484848,0.3787878787878788,0.106060606060606,225.0,0.75820273,63.0,0.07499734,7.0,0.26939067,23.0,https://assets.nhle.com/mugs/nhl/20242025/MIN/8474716.png,0.80441666,0.06191547,0.20101713,0.85950637,0.07322365,0.23424585,66.0,6.0,17.0,71.0,7.0,20.0
50,Tyler Johnson,8474870,C,34,9,0.0,2.0,1.0,1.0,13.077777777777778,0.2222222222222222,0.2222222222222222,0.0,222.0,0.47418678,39.0,0.09926577,9.0,0.1334984,11.0,https://assets.nhle.com/mugs/nhl/latest/8474870.png,0.77980506,0.10873311,0.13835095,0.80914927,0.11645036,0.17427734,64.0,9.0,12.0,67.0,10.0,15.0
51,Marcus Johansson,8475149,L,34,72,11.0,34.0,16.0,7.0,16.383333333333333,0.4722222222222222,0.3194444444444444,0.1527777777777778,225.0,0.857396,71.0,0.15659395,13.0,0.24344149,20.0,https://assets.nhle.com/mugs/nhl/20242025/MIN/8475149.png,0.7902264,0.09663133,0.1998121,0.85397685,0.13336396,0.21883465,65.0,8.0,17.0,71.0,11.0,18.0
52,Kyle Palmieri,8475151,C,33,82,24.0,48.0,12.0,12.0,18.516260162601625,0.5853658536585366,0.2926829268292683,0.2926829268292683,222.0,0.8900263,73.0,0.23536052,20.0,0.26845476,23.0,https://assets.nhle.com/mugs/nhl/20242025/NYI/8475151.png,0.888219,0.18580312,0.22665699,0.87168133,0.21036226,0.24438868,73.0,16.0,19.0,72.0,18.0,21.0
53,Ryan O'Reilly,8475158,C,33,79,21.0,53.0,17.0,15.0,18.98839662447257,0.6708860759493671,0.4050632911392405,0.2658227848101265,212.0,0.86278486,71.0,0.28083748,24.0,0.3649467,30.0,https://assets.nhle.com/mugs/nhl/20242025/NSH/8475158.png,0.80768377,0.19540158,0.24309665,0.89246505,0.20592819,0.29878825,67.0,17.0,20.0,74.0,17.0,25.0
54,John Tavares,8475166,C,34,75,38.0,74.0,20.0,16.0,18.225555555555555,0.9866666666666668,0.48,0.5066666666666667,267.0,0.90666217,75.0,0.42739725,36.0,0.45326698,38.0,https://assets.nhle.com/mugs/nhl/20242025/TOR/8475166.png,0.9347724,0.3673198,0.36437774,0.88778013,0.37974277,0.350698,77.0,31.0,30.0,73.0,32.0,29.0
55,Victor Hedman,8475167,D,34,79,15.0,66.0,26.0,25.0,23.07974683544304,0.8354430379746836,0.6455696202531646,0.189873417721519,292.0,0.8762337,72.0,0.16842872,14.0,0.61047786,51.0,https://assets.nhle.com/mugs/nhl/20242025/TBL/8475167.png,0.8291259,0.101736955,0.37336856,0.88435566,0.09028976,0.40308866,68.0,9.0,31.0,73.0,8.0,34.0
56,Matt Duchene,8475168,C,33,82,30.0,82.0,26.0,26.0,17.14288617886179,1.0,0.6341463414634146,0.3658536585365853,275.0,0.9050974,75.0,0.35840386,30.0,0.42852318,36.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8475168.png,0.7978497,0.20194928,0.2851861,0.82672614,0.21266569,0.32340395,66.0,17.0,24.0,68.0,18.0,27.0
57,Brayden Schenn,8475170,C,33,82,18.0,50.0,20.0,12.0,17.5609756097561,0.6097560975609756,0.3902439024390244,0.2195121951219512,250.0,0.93947566,78.0,0.22840798,19.0,0.33904684,28.0,https://assets.nhle.com/mugs/nhl/20242025/STL/8475170.png,0.83781207,0.14587495,0.27252007,0.85064214,0.17045398,0.29034758,69.0,12.0,23.0,70.0,14.0,24.0
58,Oliver Ekman-Larsson,8475171,D,33,77,4.0,29.0,9.0,16.0,21.06861471861472,0.3766233766233766,0.3246753246753247,0.0519480519480519,267.0,0.83310956,69.0,0.07224201,6.0,0.25895327,22.0,https://assets.nhle.com/mugs/nhl/20242025/TOR/8475171.png,0.8113916,0.061999407,0.23811142,0.8628836,0.056973774,0.25144568,67.0,6.0,20.0,71.0,5.0,21.0
59,Nazem Kadri,8475172,C,34,82,35.0,67.0,19.0,13.0,19.35487804878049,0.8170731707317073,0.3902439024390244,0.4268292682926829,220.0,0.9342013,77.0,0.35596862,30.0,0.3914275,33.0,https://assets.nhle.com/mugs/nhl/20242025/CGY/8475172.png,0.9585158,0.29707143,0.41472864,0.8807949,0.32149938,0.4306957,79.0,25.0,35.0,73.0,27.0,36.0
60,Calvin de Haan,8475177,D,33,47,0.0,8.0,4.0,4.0,14.973758865248229,0.1702127659574468,0.1702127659574468,0.0,255.0,0.5378938,45.0,0.025703948,3.0,0.10575933,9.0,https://assets.nhle.com/mugs/nhl/20242025/NYR/8475177.png,0.52511406,0.042026553,0.1282928,0.60840595,0.03825331,0.14459124,44.0,4.0,11.0,50.0,4.0,12.0
61,Dmitry Kulikov,8475179,D,34,70,4.0,13.0,2.0,7.0,19.26833333333333,0.1857142857142857,0.1285714285714285,0.0571428571428571,246.0,0.8537065,71.0,0.028132195,3.0,0.15141916,13.0,https://assets.nhle.com/mugs/nhl/20242025/FLA/8475179.png,0.6188957,0.03282385,0.14463967,0.7023709,0.030647812,0.13872166,51.0,3.0,12.0,58.0,3.0,12.0
62,Nick Leddy,8475181,D,33,31,2.0,5.0,1.0,2.0,18.67043010752688,0.1612903225806451,0.0967741935483871,0.064516129032258,250.0,0.6623412,55.0,0.024077943,2.0,0.19559222,17.0,https://assets.nhle.com/mugs/nhl/20242025/STL/8475181.png,0.7579993,0.033243466,0.17150487,0.8060858,0.03439698,0.19488233,63.0,3.0,15.0,67.0,3.0,16.0
63,Chris Kreider,8475184,L,33,68,22.0,30.0,3.0,5.0,16.754166666666666,0.4411764705882353,0.1176470588235294,0.3235294117647059,255.0,0.84331983,70.0,0.34354421,29.0,0.23684563,20.0,https://assets.nhle.com/mugs/nhl/20242025/NYR/8475184.png,0.97070724,0.3805129,0.3093297,0.872067,0.39276206,0.28964964,80.0,32.0,26.0,72.0,33.0,24.0
64,Brayden McNabb,8475188,D,33,82,5.0,20.0,7.0,8.0,20.11280487804878,0.2439024390243902,0.1829268292682926,0.0609756097560975,274.0,0.89301306,74.0,0.027671237,3.0,0.18546338,16.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8475188.png,0.7456033,0.027510514,0.16625436,0.7385033,0.025649412,0.15814517,62.0,3.0,14.0,61.0,3.0,13.0
65,Reilly Smith,8475191,R,33,79,13.0,40.0,15.0,12.0,15.440717299578058,0.5063291139240507,0.3417721518987341,0.1645569620253164,274.0,0.8450083,70.0,0.18639253,16.0,0.23007846,19.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8475191.png,0.71401715,0.12450472,0.17779423,0.66680986,0.14760822,0.17952739,59.0,11.0,15.0,55.0,13.0,15.0
66,Tomas Tatar,8475193,L,34,74,7.0,17.0,4.0,6.0,11.102927927927928,0.2297297297297297,0.1351351351351351,0.0945945945945946,240.0,0.7167935,59.0,0.108465604,9.0,0.16467018,14.0,https://assets.nhle.com/mugs/nhl/20242025/NJD/8475193.png,0.83791363,0.12372203,0.20091732,0.8353053,0.13030519,0.21502168,69.0,11.0,17.0,69.0,11.0,18.0
67,Tyson Barrie,8475197,D,33,13,1.0,3.0,2.0,0.0,15.801282051282053,0.2307692307692307,0.1538461538461538,0.0769230769230769,220.0,0.43962047,37.0,0.028713958,3.0,0.18119483,15.0,https://assets.nhle.com/mugs/nhl/20242025/CGY/8475197.png,0.6363524,0.058365818,0.17886403,0.6391462,0.05645333,0.21219017,53.0,5.0,15.0,53.0,5.0,18.0
68,Dmitry Orlov,8475200,D,33,76,6.0,28.0,9.0,13.0,19.996491228070177,0.3684210526315789,0.2894736842105263,0.0789473684210526,266.0,0.8554575,71.0,0.07990413,7.0,0.24612044,21.0,https://assets.nhle.com/mugs/nhl/20242025/CAR/8475200.png,0.7815877,0.06950471,0.2618611,0.7920576,0.06777327,0.26410267,65.0,6.0,22.0,65.0,6.0,22.0
